Year,StateAbbreviation,OFFICE NAME,Candidate,PARTY,Votes,Percent,VOTER REGISTRATION COUNT,TURNOUT
2020,TX,STATE REPRESENTATIVE DISTRICT 2,BILL BRANNON,DEM,14514,18.71%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 3,CECIL BELL JR (I),REP,70385,77.34%,"16,955,519",0.54%
2020,TX,STATE REPRESENTATIVE DISTRICT 3,MARTIN SHUPP,DEM,20625,22.66%,"16,955,519",0.54%
2020,TX,STATE REPRESENTATIVE DISTRICT 4,KEITH BELL (I),REP,65903,79.08%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 4,K. NICOLE SPRABARY,LIB,17437,20.92%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 5,COLE HEFNER (I),REP,59197,79.97%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 5,LAWYANDA PRINCE,DEM,14824,20.03%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 6,MATT SCHAEFER (I),REP,50143,68.16%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 6,JULIE GOBBLE,DEM,23426,31.84%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 7,JAY DEAN (I),REP,54726,100%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 8,CODY HARRIS (I),REP,50433,85.91%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 8,R. EDWIN ADAMS,LIB,8271,14.09%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 9,CHRIS PADDIE (I),REP,62151,100%,"16,955,519",0.37%
2020,TX,STATE REPRESENTATIVE DISTRICT 10,JAKE ELLZEY,REP,65062,75.83%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 10,MATT SAVINO,LIB,20733,24.17%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 11,TRAVIS CLARDY (I),REP,49864,75.75%,"16,955,519",0.39%
2020,TX,STATE REPRESENTATIVE DISTRICT 11,ALEC JOHNSON,DEM,15965,24.25%,"16,955,519",0.39%
2020,TX,STATE REPRESENTATIVE DISTRICT 12,KYLE KACAL (I),REP,49785,100%,"16,955,519",0.29%
2020,TX,STATE REPRESENTATIVE DISTRICT 13,BEN LEMAN (I),REP,72890,100%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 14,JOHN RANEY (I),REP,35922,57.53%,"16,955,519",0.37%
2020,TX,STATE REPRESENTATIVE DISTRICT 14,JANET DUDDING,DEM,26520,42.47%,"16,955,519",0.37%
2020,TX,STATE REPRESENTATIVE DISTRICT 15,STEVE TOTH (I),REP,71586,66.47%,"16,955,519",0.64%
2020,TX,STATE REPRESENTATIVE DISTRICT 15,LORENA PEREZ MCGILL,DEM,36111,33.53%,"16,955,519",0.64%
2020,TX,STATE REPRESENTATIVE DISTRICT 16,WILL METCALF (I),REP,74821,100%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 17,JOHN P. CYRIER (I),REP,45219,63.6%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 17,MADELINE EDEN,DEM,25881,36.4%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 18,ERNEST BAILES (I),REP,56026,100%,"16,955,519",0.33%
2020,TX,STATE REPRESENTATIVE DISTRICT 19,JAMES WHITE (I),REP,72573,100%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 20,TERRY M. WILSON (I),REP,78884,71.37%,"16,955,519",0.65%
2020,TX,STATE REPRESENTATIVE DISTRICT 20,JESSICA TIEDT,DEM,31648,28.63%,"16,955,519",0.65%
2020,TX,STATE REPRESENTATIVE DISTRICT 21,DADE PHELAN (I),REP,65689,100%,"16,955,519",0.39%
2020,TX,STATE REPRESENTATIVE DISTRICT 22,JACORION RANDLE,REP,16685,31.73%,"16,955,519",0.31%
2020,TX,STATE REPRESENTATIVE DISTRICT 22,JOE DESHOTEL (I),DEM,35903,68.27%,"16,955,519",0.31%
2020,TX,STATE REPRESENTATIVE DISTRICT 23,MAYES MIDDLETON (I),REP,47068,60.17%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 23,JEFF ANTONELLI,DEM,31154,39.83%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 24,GREG BONNEN (I),REP,65560,69.92%,"16,955,519",0.55%
2020,TX,STATE REPRESENTATIVE DISTRICT 24,BRIAN J. ROGERS,DEM,25848,27.57%,"16,955,519",0.55%
2020,TX,STATE REPRESENTATIVE DISTRICT 24,DICK ILLYES,LIB,2356,2.51%,"16,955,519",0.55%
2020,TX,STATE REPRESENTATIVE DISTRICT 25,CODY THANE VASUT,REP,48492,71.57%,"16,955,519",0.4%
2020,TX,STATE REPRESENTATIVE DISTRICT 25,PATRICK HENRY,DEM,19261,28.43%,"16,955,519",0.4%
2020,TX,STATE REPRESENTATIVE DISTRICT 26,JACEY JETTON,REP,43438,51.79%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 26,"L. ""SARAH"" DEMERCHANT",DEM,40436,48.21%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 27,TOM VIRIPPAN,REP,26766,32.19%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 27,RON REYNOLDS (I),DEM,56373,67.81%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 28,GARY GATES (I),REP,66619,55.27%,"16,955,519",0.71%
2020,TX,STATE REPRESENTATIVE DISTRICT 28,"ELIZABETH ""ELIZ"" MARKOWITZ",DEM,53908,44.73%,"16,955,519",0.71%
2020,TX,STATE REPRESENTATIVE DISTRICT 29,ED THOMPSON (I),REP,54594,56.69%,"16,955,519",0.57%
2020,TX,STATE REPRESENTATIVE DISTRICT 29,TRAVIS BOLDT,DEM,41712,43.31%,"16,955,519",0.57%
2020,TX,STATE REPRESENTATIVE DISTRICT 30,GEANIE W. MORRISON (I),REP,57232,100%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 31,MARIAN KNOWLTON,REP,22950,41.59%,"16,955,519",0.33%
2020,TX,STATE REPRESENTATIVE DISTRICT 31,RYAN GUILLEN (I),DEM,32235,58.41%,"16,955,519",0.33%
2020,TX,STATE REPRESENTATIVE DISTRICT 32,TODD HUNTER (I),REP,42357,61.14%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 32,ERIC HOLGUIN,DEM,26925,38.86%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 33,JUSTIN HOLLAND (I),REP,77503,64.95%,"16,955,519",0.7%
2020,TX,STATE REPRESENTATIVE DISTRICT 33,ANDY ROSE,DEM,41827,35.05%,"16,955,519",0.7%
2020,TX,STATE REPRESENTATIVE DISTRICT 34,JAMES HERNANDEZ,REP,22284,40.51%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 34,ABEL HERRERO (I),DEM,32720,59.49%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 35,OSCAR LONGORIA (I),DEM,31195,100%,"16,955,519",0.18%
2020,TX,STATE REPRESENTATIVE DISTRICT 36,SERGIO MUNOZ JR (I),DEM,36564,100%,"16,955,519",0.22%
2020,TX,STATE REPRESENTATIVE DISTRICT 37,ALEX DOMINGUEZ (I),DEM,27650,100%,"16,955,519",0.16%
2020,TX,STATE REPRESENTATIVE DISTRICT 38,EDDIE LUCIO III (I),DEM,35492,100%,"16,955,519",0.21%
2020,TX,STATE REPRESENTATIVE DISTRICT 39,ARMANDO 'MANDO&QUOT; MARTINEZ (I),DEM,36860,100%,"16,955,519",0.22%
2020,TX,STATE REPRESENTATIVE DISTRICT 40,TERRY CANALES (I),DEM,34576,100%,"16,955,519",0.2%
2020,TX,STATE REPRESENTATIVE DISTRICT 41,JOHN (DOC) ROBERT  GUERRA,REP,23366,42.13%,"16,955,519",0.33%
2020,TX,STATE REPRESENTATIVE DISTRICT 41,BOBBY GUERRA (I),DEM,32097,57.87%,"16,955,519",0.33%
2020,TX,STATE REPRESENTATIVE DISTRICT 42,RICHARD PENA RAYMOND (I),DEM,35709,100%,"16,955,519",0.21%
2020,TX,STATE REPRESENTATIVE DISTRICT 43,J.M. LOZANO (I),REP,45357,100%,"16,955,519",0.27%
2020,TX,STATE REPRESENTATIVE DISTRICT 44,JOHN KUEMPEL (I),REP,67308,67.42%,"16,955,519",0.59%
2020,TX,STATE REPRESENTATIVE DISTRICT 44,ROBERT BOHMFALK,DEM,29433,29.48%,"16,955,519",0.59%
2020,TX,STATE REPRESENTATIVE DISTRICT 44,JULIAN MARDOCK,LIB,3100,3.1%,"16,955,519",0.59%
2020,TX,STATE REPRESENTATIVE DISTRICT 45,CARRIE ISAAC,REP,56175,49.47%,"16,955,519",0.67%
2020,TX,STATE REPRESENTATIVE DISTRICT 45,ERIN ZWIENER (I),DEM,57383,50.53%,"16,955,519",0.67%
2020,TX,STATE REPRESENTATIVE DISTRICT 46,SHERYL COLE (I),DEM,62064,100%,"16,955,519",0.37%
2020,TX,STATE REPRESENTATIVE DISTRICT 47,JUSTIN BERRY,REP,65474,48.28%,"16,955,519",0.8%
2020,TX,STATE REPRESENTATIVE DISTRICT 47,VIKKI GOODWIN (I),DEM,66816,49.27%,"16,955,519",0.8%
2020,TX,STATE REPRESENTATIVE DISTRICT 47,MICHAEL CLARK,LIB,3311,2.44%,"16,955,519",0.8%
2020,TX,STATE REPRESENTATIVE DISTRICT 48,BILL STRIEBER,REP,31382,29.9%,"16,955,519",0.62%
2020,TX,STATE REPRESENTATIVE DISTRICT 48,DONNA HOWARD (I),DEM,73590,70.1%,"16,955,519",0.62%
2020,TX,STATE REPRESENTATIVE DISTRICT 49,CHARLES ALLAN MEYER,REP,18277,17.96%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 49,GINA HINOJOSA (I),DEM,80258,78.85%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 49,KENNETH M. MOORE,LIB,3248,3.19%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 50,LARRY DELAROSE,REP,28805,31.22%,"16,955,519",0.54%
2020,TX,STATE REPRESENTATIVE DISTRICT 50,CELIA ISRAEL (I),DEM,63449,68.78%,"16,955,519",0.54%
2020,TX,STATE REPRESENTATIVE DISTRICT 51,ROBERT REYNOLDS,REP,12431,17.34%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 51,EDDIE RODRIGUEZ (I),DEM,59257,82.66%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 52,LUCIO VALDEZ,REP,47611,48.52%,"16,955,519",0.58%
2020,TX,STATE REPRESENTATIVE DISTRICT 52,JAMES TALARICO (I),DEM,50520,51.48%,"16,955,519",0.58%
2020,TX,STATE REPRESENTATIVE DISTRICT 53,ANDREW S. MURR (I),REP,67127,78.2%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 53,JOE P. HERRERA,DEM,18713,21.8%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 54,BRAD BUCKLEY (I),REP,38853,53.39%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 54,"LIKEITHIA ""KEKE"" WILLIAMS",DEM,33918,46.61%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 55,HUGH D. SHINE (I),REP,54733,100%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 56,CHARLES &QUOT;DOC&QUOT; ANDERSON (I),REP,49030,67.29%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 56,KATHERINE TURNER-PEARSON,DEM,23833,32.71%,"16,955,519",0.43%
2020,TX,STATE REPRESENTATIVE DISTRICT 57,TRENT ASHBY (I),REP,53930,79.45%,"16,955,519",0.4%
2020,TX,STATE REPRESENTATIVE DISTRICT 57,JASON ROGERS,DEM,13946,20.55%,"16,955,519",0.4%
2020,TX,STATE REPRESENTATIVE DISTRICT 58,DEWAYNE BURNS (I),REP,62176,79.04%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 58,CINDY ROCHA,DEM,16489,20.96%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 59,SHELBY SLAWSON,REP,53825,100%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 60,GLENN ROGERS,REP,75270,100%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 61,PHIL KING (I),REP,87526,82.95%,"16,955,519",0.62%
2020,TX,STATE REPRESENTATIVE DISTRICT 61,CHRISTOPHER COX,DEM,14940,14.16%,"16,955,519",0.62%
2020,TX,STATE REPRESENTATIVE DISTRICT 61,J. K. STEPHENSON,LIB,3049,2.89%,"16,955,519",0.62%
2020,TX,STATE REPRESENTATIVE DISTRICT 62,REGGIE SMITH (I),REP,59020,78.59%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 62,GARY D. THOMAS,DEM,16074,21.41%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 63,TAN PARKER (I),REP,73297,67.42%,"16,955,519",0.64%
2020,TX,STATE REPRESENTATIVE DISTRICT 63,LESLIE PEELER,DEM,35426,32.58%,"16,955,519",0.64%
2020,TX,STATE REPRESENTATIVE DISTRICT 64,LYNN STUCKY (I),REP,48188,54.95%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 64,ANGELA BREWER,DEM,39504,45.05%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 65,KRONDA THIMESCH,REP,38156,48.49%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 65,MICHELLE BECKLEY (I),DEM,40529,51.51%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 66,MATT SHAHEEN (I),REP,42728,49.56%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 66,SHARON HIRSCH,DEM,41879,48.58%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 66,SHAWN JONES,LIB,1600,1.86%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 67,JEFF LEACH (I),REP,49113,51.71%,"16,955,519",0.56%
2020,TX,STATE REPRESENTATIVE DISTRICT 67,LORENZO SANCHEZ,DEM,45867,48.29%,"16,955,519",0.56%
2020,TX,STATE REPRESENTATIVE DISTRICT 68,DREW SPRINGER (I),REP,56656,85.47%,"16,955,519",0.39%
2020,TX,STATE REPRESENTATIVE DISTRICT 68,PATSY LEDBETTER,DEM,9630,14.53%,"16,955,519",0.39%
2020,TX,STATE REPRESENTATIVE DISTRICT 69,JAMES B. FRANK (I),REP,49731,100%,"16,955,519",0.29%
2020,TX,STATE REPRESENTATIVE DISTRICT 70,SCOTT SANFORD (I),REP,76754,61.85%,"16,955,519",0.73%
2020,TX,STATE REPRESENTATIVE DISTRICT 70,ANGIE BADO,DEM,47343,38.15%,"16,955,519",0.73%
2020,TX,STATE REPRESENTATIVE DISTRICT 71,STAN LAMBERT (I),REP,51376,78.85%,"16,955,519",0.38%
2020,TX,STATE REPRESENTATIVE DISTRICT 71,SAMUEL HATTON,DEM,13783,21.15%,"16,955,519",0.38%
2020,TX,STATE REPRESENTATIVE DISTRICT 72,DREW DARBY (I),REP,54898,100%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 73,KYLE BIEDERMANN (I),REP,95385,74.83%,"16,955,519",0.75%
2020,TX,STATE REPRESENTATIVE DISTRICT 73,STEPHANIE PHILLIPS,DEM,32091,25.17%,"16,955,519",0.75%
2020,TX,STATE REPRESENTATIVE DISTRICT 74,RUBEN FALCON,REP,22334,46.08%,"16,955,519",0.29%
2020,TX,STATE REPRESENTATIVE DISTRICT 74,EDDIE MORALES,DEM,26131,53.92%,"16,955,519",0.29%
2020,TX,STATE REPRESENTATIVE DISTRICT 75,MARY E. GONZALEZ (I),DEM,46455,100%,"16,955,519",0.27%
2020,TX,STATE REPRESENTATIVE DISTRICT 76,CLAUDIA ORDAZ PEREZ,DEM,36199,100%,"16,955,519",0.21%
2020,TX,STATE REPRESENTATIVE DISTRICT 77,EVELINA (LINA) ORTEGA (I),DEM,34659,100%,"16,955,519",0.2%
2020,TX,STATE REPRESENTATIVE DISTRICT 78,JEFFREY LANE,REP,24180,38.35%,"16,955,519",0.37%
2020,TX,STATE REPRESENTATIVE DISTRICT 78,JOE MOODY (I),DEM,38876,61.65%,"16,955,519",0.37%
2020,TX,STATE REPRESENTATIVE DISTRICT 79,ART FIERRO (I),DEM,42667,100%,"16,955,519",0.25%
2020,TX,STATE REPRESENTATIVE DISTRICT 80,TRACY KING (I),DEM,37792,100%,"16,955,519",0.22%
2020,TX,STATE REPRESENTATIVE DISTRICT 81,BROOKS LANDGRAF (I),REP,48239,100%,"16,955,519",0.28%
2020,TX,STATE REPRESENTATIVE DISTRICT 82,TOM CRADDICK (I),REP,61068,100%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 83,DUSTIN BURROWS (I),REP,61959,79.29%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 83,ADDISON PERRY-FRANKS,DEM,16185,20.71%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 84,JOHN FRULLO (I),REP,35066,61.22%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 84,JOHN GIBSON,DEM,22208,38.78%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 85,PHIL STEPHENSON (I),REP,43024,56.44%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 85,JOEY CARDENAS III,DEM,31372,41.15%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 85,MICHAEL L. MILLER,LIB,1838,2.41%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 86,JOHN SMITHEE (I),REP,67985,100%,"16,955,519",0.4%
2020,TX,STATE REPRESENTATIVE DISTRICT 87,FOUR PRICE (I),REP,44412,100%,"16,955,519",0.26%
2020,TX,STATE REPRESENTATIVE DISTRICT 88,KEN KING (I),REP,45771,100%,"16,955,519",0.27%
2020,TX,STATE REPRESENTATIVE DISTRICT 89,CANDY NOBLE (I),REP,58102,59.04%,"16,955,519",0.58%
2020,TX,STATE REPRESENTATIVE DISTRICT 89,SUGAR RAY ASH,DEM,37837,38.45%,"16,955,519",0.58%
2020,TX,STATE REPRESENTATIVE DISTRICT 89,ED KLESS,LIB,2466,2.51%,"16,955,519",0.58%
2020,TX,STATE REPRESENTATIVE DISTRICT 90,ELVA CAMACHO,REP,9656,27.6%,"16,955,519",0.21%
2020,TX,STATE REPRESENTATIVE DISTRICT 90,RAMON ROMERO (I),DEM,25329,72.4%,"16,955,519",0.21%
2020,TX,STATE REPRESENTATIVE DISTRICT 91,STEPHANIE KLICK (I),REP,45108,63.87%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 91,JEROMEY SIMS,DEM,25521,36.13%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 92,JEFF CASON,REP,39875,50.87%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 92,JEFF WHITFIELD,DEM,36996,47.2%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 92,BRODY MULLIGAN,GRE,1513,1.93%,"16,955,519",0.46%
2020,TX,STATE REPRESENTATIVE DISTRICT 93,MATT KRAUSE (I),REP,45876,54.47%,"16,955,519",0.5%
2020,TX,STATE REPRESENTATIVE DISTRICT 93,LYDIA BEAN,DEM,38339,45.53%,"16,955,519",0.5%
2020,TX,STATE REPRESENTATIVE DISTRICT 94,TONY TINDERHOLT (I),REP,38602,50.97%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 94,ALISA SIMMONS,DEM,34757,45.9%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 94,JESSICA PALLETT,LIB,2371,3.13%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 95,NICOLE COLLIER (I),DEM,46120,100%,"16,955,519",0.27%
2020,TX,STATE REPRESENTATIVE DISTRICT 96,DAVID COOK,REP,45053,51.22%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 96,JOE DRAGO,DEM,40550,46.1%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 96,NELSON RANGE,LIB,2362,2.69%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 97,CRAIG GOLDMAN (I),REP,43852,52.55%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 97,ELIZABETH BECK,DEM,37707,45.19%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 97,ROD WINGO,LIB,1884,2.26%,"16,955,519",0.49%
2020,TX,STATE REPRESENTATIVE DISTRICT 98,GIOVANNI CAPRIGLIONE (I),REP,71459,67.85%,"16,955,519",0.62%
2020,TX,STATE REPRESENTATIVE DISTRICT 98,DEBRA EDMONDSON,DEM,33867,32.15%,"16,955,519",0.62%
2020,TX,STATE REPRESENTATIVE DISTRICT 99,CHARLIE GEREN (I),REP,62554,100%,"16,955,519",0.37%
2020,TX,STATE REPRESENTATIVE DISTRICT 100,JASMINE FELICIA CROCKETT,DEM,45550,100%,"16,955,519",0.27%
2020,TX,STATE REPRESENTATIVE DISTRICT 101,CHRIS TURNER (I),DEM,45531,100%,"16,955,519",0.27%
2020,TX,STATE REPRESENTATIVE DISTRICT 102,LINDA KOOP,REP,31785,46.06%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 102,ANA-MARIA RAMOS (I),DEM,37219,53.94%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 103,JERRY FORTENBERRY II,REP,12934,25.44%,"16,955,519",0.3%
2020,TX,STATE REPRESENTATIVE DISTRICT 103,RAFAEL M. ANCHIA (I),DEM,37908,74.56%,"16,955,519",0.3%
2020,TX,STATE REPRESENTATIVE DISTRICT 104,JESSICA GONZALEZ (I),DEM,35710,100%,"16,955,519",0.21%
2020,TX,STATE REPRESENTATIVE DISTRICT 105,GERSON HERNANDEZ,REP,24087,42.03%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 105,TERRY MEZA (I),DEM,31502,54.96%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 105,BRET BOLTON,LIB,1724,3.01%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 106,JARED PATTERSON (I),REP,73692,58.51%,"16,955,519",0.74%
2020,TX,STATE REPRESENTATIVE DISTRICT 106,JENNIFER SKIDONENKO,DEM,52257,41.49%,"16,955,519",0.74%
2020,TX,STATE REPRESENTATIVE DISTRICT 107,SAMUEL SMITH,REP,26906,43.5%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 107,VICTORIA NEAVE (I),DEM,34940,56.5%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 108,MORGAN MEYER (I),REP,50229,49.65%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 108,JOANNA CATTANACH,DEM,48590,48.03%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 108,ED RANKIN,LIB,2340,2.31%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 109,DR. EUGENE ALLEN,REP,12880,16.72%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 109,CARL O. SHERMAN SR (I),DEM,64145,83.28%,"16,955,519",0.45%
2020,TX,STATE REPRESENTATIVE DISTRICT 110,TONI ROSE (I),DEM,37214,100%,"16,955,519",0.22%
2020,TX,STATE REPRESENTATIVE DISTRICT 111,YVONNE DAVIS (I),DEM,59450,100%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 112,ANGIE CHEN BUTTON (I),REP,33759,48.92%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 112,BRANDY K. CHAMBERS,DEM,33537,48.59%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 112,SHANE D. NEWSOM,LIB,1719,2.49%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 113,WILL DOUGLAS,REP,33194,48.23%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 113,RHETTA ANDREWS BOWERS (I),DEM,35627,51.77%,"16,955,519",0.41%
2020,TX,STATE REPRESENTATIVE DISTRICT 114,LUISA DEL ROSAL,REP,37014,46.35%,"16,955,519",0.47%
2020,TX,STATE REPRESENTATIVE DISTRICT 114,JOHN TURNER (I),DEM,42842,53.65%,"16,955,519",0.47%
2020,TX,STATE REPRESENTATIVE DISTRICT 115,KARYN BROWNLEE,REP,31026,43.1%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 115,JULIE JOHNSON (I),DEM,40961,56.9%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 116,ROBERT LITOFF,REP,18510,30.88%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 116,TREY MARTINEZ FISCHER (I),DEM,41426,69.12%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 117,CARLOS ANTONIO RAYMOND,REP,37711,41.29%,"16,955,519",0.54%
2020,TX,STATE REPRESENTATIVE DISTRICT 117,PHILIP CORTEZ (I),DEM,50092,54.85%,"16,955,519",0.54%
2020,TX,STATE REPRESENTATIVE DISTRICT 117,TONY QUINONES,LIB,3518,3.85%,"16,955,519",0.54%
2020,TX,STATE REPRESENTATIVE DISTRICT 118,ADAM SALYER,REP,23376,39.92%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 118,LEO PACHECO (I),DEM,33230,56.75%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 118,ERIC JASON VELASQUEZ,LIB,1952,3.33%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 119,GEORGE B. GARZA,REP,21154,34.72%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 119,"ELIZABETH  ""LIZ"" CAMPOS",DEM,37574,61.67%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 119,ARTHUR M. THOMAS IV,LIB,1370,2.25%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 119,ANTONIO PADRON,GRE,828,1.36%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 120,RONALD PAYNE,REP,18830,30.98%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 120,BARBARA GERVIN-HAWKINS (I),DEM,40004,65.81%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 120,SHAWN HUCKABAY,LIB,1950,3.21%,"16,955,519",0.36%
2020,TX,STATE REPRESENTATIVE DISTRICT 121,STEVE ALLISON (I),REP,50367,53.45%,"16,955,519",0.56%
